,Date,DOW_Change,SP500_Change,NASDAQ_Change,Total_Deaths
0,2/3/2020,-80.16,-13.26,-82.68066400000001,426.0
1,2/4/2020,-110.89,-16.98,-69.580079,66.0
2,2/5/2020,-242.12,-9.78,65.419921,72.0
3,2/6/2020,8.81,-0.86,-31.169921999999996,70.0
4,2/7/2020,184.41,7.83,6.129882,85.0
5,2/10/2020,-281.16,-33.81,-134.759765,107.0
6,2/11/2020,114.37,8.12,41.949218,100.0
7,2/12/2020,-144.67,-8.95,-37.360352,5.0
8,2/13/2020,12.72,-8.04,-54.929688,253.0
9,2/14/2020,42.39,-2.08,-2.279297,152.0
10,2/18/2020,50.59,-1.25,-53.700194999999994,140.0
11,2/19/2020,-35.33,-5.76,-34.370118,115.0
12,2/20/2020,76.27,7.22,48.230468,125.0
13,2/21/2020,154.12,22.75,131.41992199999999,4.0
14,2/24/2020,442.13,31.72,-32.839843,160.0
15,2/25/2020,956.29,110.73,335.58984300000003,80.0
16,2/26/2020,201.87,23.51,30.769532,61.0
17,2/27/2020,759.36,83.78,177.549804,43.0
18,2/28/2020,-138.53,-37.32,-297.629883,59.0
19,3/2/2020,-1112.81,-115.95,-285.030274,89.0
20,3/3/2020,845.06,93.09,281.009765,75.0
21,3/4/2020,-707.18,-84.37,-183.990235,95.0
22,3/5/2020,550.64,51.76,51.5,94.0
23,3/6/2020,-407.57,-18.17,-106.600586,111.0
24,3/9/2020,1141.34,117.33,7.25,190.0
25,3/10/2020,-565.16,-68.75,-124.49023400000002,274.0
26,3/11/2020,1051.41,84.22,184.200195,344.0
27,3/12/2020,984.09,150.22,196.780273,306.0
28,3/13/2020,-1211.8,-141.03,-264.48974599999997,497.0
29,3/16/2020,729.01,122.46,488.14013600000004,678.0
30,3/17/2020,-750.33,-103.53,-262.779785,814.0
31,3/18/2020,289.77,38.4,-87.52002,907.0
32,3/19/2020,-257.18,-15.91,-154.129883,1111.0
33,3/20/2020,1079.17,127.02,368.549804,1485.0
34,3/23/2020,436.43,53.31,-13.390137,1949.0
35,3/24/2020,-982.72,-102.89,-221.709961,2290.0
36,3/25/2020,-150.21,-17.79,37.060058000000005,2810.0
37,3/26/2020,-1083.79,-128.78,-335.33007799999996,3035.0
38,3/27/2020,261.69,14.4,51.870117,3488.0
39,3/30/2020,-649.26,-67.67,-190.689941,4081.0
40,3/31/2020,291.26,30.1,39.959961,4748.0
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,,,,,
104,,,,,
105,,,,,
106,,,,,
107,,,,,
108,,,,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,,,,
118,,,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,,,,,
124,,,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,,,,,
163,,,,,
164,,,,,
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,,,,,
175,,,,,
176,,,,,
177,,,,,
178,,,,,
179,,,,,
180,,,,,
181,,,,,
182,,,,,
183,,,,,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,,
190,,,,,
191,,,,,
192,,,,,
193,,,,,
194,,,,,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,,,,,
201,,,,,
202,,,,,
203,,,,,
204,,,,,
205,,,,,
206,,,,,
207,,,,,
208,,,,,
209,,,,,
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
217,,,,,
218,,,,,
219,,,,,
220,,,,,
221,,,,,
222,,,,,
223,,,,,
224,,,,,
225,,,,,
226,,,,,
227,,,,,
228,,,,,
229,,,,,
230,,,,,
231,,,,,
232,,,,,
233,,,,,
234,,,,,
235,,,,,
236,,,,,
237,,,,,
238,,,,,
239,,,,,
240,,,,,
241,,,,,
242,,,,,
243,,,,,
244,,,,,
245,,,,,
246,,,,,
247,,,,,
248,,,,,
249,,,,,
250,,,,,
251,,,,,
252,,,,,
253,,,,,
254,,,,,
255,,,,,
256,,,,,
257,,,,,
258,,,,,
259,,,,,
260,,,,,
261,,,,,
262,,,,,
263,,,,,
264,,,,,
265,,,,,
266,,,,,
267,,,,,
268,,,,,
269,,,,,
